year,country,value,indicator
2021,德国,0.2,GPU集群规模
2022,德国,0.3,GPU集群规模
2023,德国,0.04,GPU集群规模
2024,德国,0.05,GPU集群规模
2025,德国,0.05,GPU集群规模
2026,德国,0.1259999999999959,GPU集群规模
2027,德国,0.13218181818181485,GPU集群规模
2028,德国,0.13836363636363203,GPU集群规模
2029,德国,0.14454545454545098,GPU集群规模
2030,德国,0.15072727272726816,GPU集群规模
2031,德国,0.1569090909090871,GPU集群规模
2032,德国,0.16309090909090607,GPU集群规模
2033,德国,0.16927272727272324,GPU集群规模
2034,德国,0.1754545454545422,GPU集群规模
2035,德国,0.18163636363635938,GPU集群规模
2016,日本,0.02,GPU集群规模
2017,日本,0.03,GPU集群规模
2018,日本,0.04,GPU集群规模
2019,日本,0.05,GPU集群规模
2020,日本,0.1,GPU集群规模
2021,日本,0.2,GPU集群规模
2022,日本,0.5,GPU集群规模
2023,日本,1.0,GPU集群规模
2024,日本,1.2,GPU集群规模
2025,日本,1.4,GPU集群规模
2026,日本,1.0,GPU集群规模
2027,日本,1.0,GPU集群规模
2028,日本,1.0,GPU集群规模
2029,日本,1.0,GPU集群规模
2030,日本,1.0,GPU集群规模
2031,日本,1.0,GPU集群规模
2032,日本,1.0,GPU集群规模
2033,日本,1.0,GPU集群规模
2034,日本,1.0,GPU集群规模
2035,日本,1.0,GPU集群规模
2016,法国,0.01,GPU集群规模
2017,法国,0.02,GPU集群规模
2018,法国,0.03,GPU集群规模
2019,法国,0.04,GPU集群规模
2020,法国,0.1,GPU集群规模
2021,法国,0.5,GPU集群规模
2022,法国,1.0,GPU集群规模
2023,法国,1.5,GPU集群规模
2024,法国,2.0,GPU集群规模
2025,法国,2.4,GPU集群规模
2026,法国,2.2933333333334076,GPU集群规模
2027,法国,2.57212121212126,GPU集群规模
2028,法国,2.8509090909092265,GPU集群规模
2029,法国,3.129696969697193,GPU集群规模
2030,法国,3.4084848484850454,GPU集群规模
2031,法国,3.6872727272730117,GPU集群规模
2032,法国,3.966060606060978,GPU集群规模
2033,法国,4.244848484848831,GPU集群规模
2034,法国,4.523636363636797,GPU集群规模
2035,法国,4.802424242424763,GPU集群规模
2016,美国,0.3,GPU集群规模
2017,美国,0.5,GPU集群规模
2018,美国,1.0,GPU集群规模
2019,美国,2.0,GPU集群规模
2020,美国,5.0,GPU集群规模
2021,美国,10.0,GPU集群规模
2022,美国,20.0,GPU集群规模
2023,美国,30.0,GPU集群规模
2024,美国,35.0,GPU集群规模
2025,美国,39.7,GPU集群规模
2026,美国,41.020000000002256,GPU集群规模
2027,美国,45.869090909094666,GPU集群规模
2028,美国,50.71818181818526,GPU集群规模
2029,美国,55.56727272727767,GPU集群规模
2030,美国,60.41636363637008,GPU集群规模
2031,美国,65.26545454546067,GPU集群规模
2032,美国,70.11454545455308,GPU集群规模
2033,美国,74.96363636364549,GPU集群规模
2034,美国,79.81272727273608,GPU集群规模
2035,美国,84.6618181818285,GPU集群规模
2016,英国,0.02,GPU集群规模
2017,英国,0.03,GPU集群规模
2018,英国,0.04,GPU集群规模
2019,英国,0.05,GPU集群规模
2020,英国,0.1,GPU集群规模
2021,英国,0.2,GPU集群规模
2022,英国,0.5,GPU集群规模
2023,英国,0.1,GPU集群规模
2024,英国,0.12,GPU集群规模
2025,英国,0.12,GPU集群规模
2026,英国,0.23733333333333206,GPU集群规模
2027,英国,0.25721212121212744,GPU集群规模
2028,英国,0.2770909090909157,GPU集群规模
2029,英国,0.296969696969704,GPU集群规模
2030,英国,0.31684848484849226,GPU集群规模
2031,英国,0.33672727272728764,GPU集群规模
2032,英国,0.3566060606060759,GPU集群规模
2033,英国,0.3764848484848642,GPU集群规模
2034,英国,0.39636363636365957,GPU集群规模
2035,英国,0.41624242424244784,GPU集群规模
2016,阿联酋,0.005,GPU集群规模
2017,阿联酋,0.005,GPU集群规模
2018,阿联酋,0.01,GPU集群规模
2019,阿联酋,0.02,GPU集群规模
2020,阿联酋,0.05,GPU集群规模
2021,阿联酋,1.0,GPU集群规模
2022,阿联酋,5.0,GPU集群规模
2023,阿联酋,10.0,GPU集群规模
2024,阿联酋,20.0,GPU集群规模
2025,阿联酋,23.1,GPU集群规模
2026,阿联酋,19.707666666667137,GPU集群规模
2027,阿联酋,22.214696969697798,GPU集群规模
2028,阿联酋,24.721727272728458,GPU集群规模
2029,阿联酋,27.22875757575912,GPU集群规模
2030,阿联酋,29.73578787878978,GPU集群规模
2031,阿联酋,32.24281818182044,GPU集群规模
2032,阿联酋,34.74984848485201,GPU集群规模
2033,阿联酋,37.25687878788267,GPU集群规模
2034,阿联酋,39.76390909091333,GPU集群规模
2035,阿联酋,42.27093939394399,GPU集群规模
2016,韩国,0.01,GPU集群规模
2017,韩国,0.02,GPU集群规模
2018,韩国,0.03,GPU集群规模
2019,韩国,0.04,GPU集群规模
2020,韩国,0.1,GPU集群规模
2021,韩国,0.5,GPU集群规模
2022,韩国,1.0,GPU集群规模
2023,韩国,3.0,GPU集群规模
2024,韩国,4.0,GPU集群规模
2025,韩国,5.1,GPU集群规模
2026,韩国,4.440000000000055,GPU集群规模
2027,韩国,4.996363636363867,GPU集群规模
2028,韩国,5.5527272727276795,GPU集群规模
2029,韩国,6.109090909091492,GPU集群规模
2030,韩国,6.665454545455077,GPU集群规模
2031,韩国,7.22181818181889,GPU集群规模
2032,韩国,7.778181818182702,GPU集群规模
2033,韩国,8.334545454546287,GPU集群规模
2034,韩国,8.8909090909101,GPU集群规模
2035,韩国,9.447272727273912,GPU集群规模
2016,中国,2779.6,GitHub项目数
2017,中国,6599.98,GitHub项目数
2018,中国,7819.02,GitHub项目数
2019,中国,7264.33,GitHub项目数
2020,中国,5762.31,GitHub项目数
2021,中国,5319.72,GitHub项目数
2022,中国,5518.97,GitHub项目数
2023,中国,5883.07,GitHub项目数
2024,中国,5700.0,GitHub项目数
2025,中国,5600.0,GitHub项目数
2026,中国,5094.573885836115,GitHub项目数
2027,中国,4909.005248266418,GitHub项目数
2028,中国,4730.195904019565,GitHub项目数
2029,中国,4557.899647449973,GitHub项目数
2030,中国,4391.879240893832,GitHub项目数
2031,中国,4231.906088012634,GitHub项目数
2032,中国,4077.759919034943,GitHub项目数
2033,中国,3929.228487463115,GitHub项目数
2034,中国,3786.1072778275266,GitHub项目数
2035,中国,3648.1992240857508,GitHub项目数
2016,加拿大,2127.65,GitHub项目数
2017,加拿大,4330.49,GitHub项目数
2018,加拿大,5654.01,GitHub项目数
2019,加拿大,6834.04,GitHub项目数
2020,加拿大,9439.3,GitHub项目数
2021,加拿大,7994.26,GitHub项目数
2022,加拿大,7294.8,GitHub项目数
2023,加拿大,7472.33,GitHub项目数
2024,加拿大,7400.0,GitHub项目数
2025,加拿大,7350.0,GitHub项目数
2026,加拿大,8401.241218125448,GitHub项目数
2027,加拿大,8697.618214393617,GitHub项目数
2028,加拿大,9004.450728083088,GitHub项目数
2029,加拿大,9322.107606459234,GitHub项目数
2030,加拿大,9650.970708893496,GitHub项目数
2031,加拿大,9991.43536590191,GitHub项目数
2032,加拿大,10343.910854376736,GitHub项目数
2033,加拿大,10708.82088958344,GitHub项目数
2034,加拿大,11086.604134514113,GitHub项目数
2035,加拿大,11477.71472720994,GitHub项目数
2016,印度,3570.08,GitHub项目数
2017,印度,10406.6,GitHub项目数
2018,印度,21709.21,GitHub项目数
2019,印度,30875.84,GitHub项目数
2020,印度,57303.05,GitHub项目数
2021,印度,56231.87,GitHub项目数
2022,印度,52338.25,GitHub项目数
2023,印度,70919.35,GitHub项目数
2024,印度,68000.0,GitHub项目数
2025,印度,65000.0,GitHub项目数
2026,印度,85815.08599999547,GitHub项目数
2027,印度,93484.11527272314,GitHub项目数
2028,印度,101153.14454545267,GitHub项目数
2029,印度,108822.17381818034,GitHub项目数
2030,印度,116491.203090908,GitHub项目数
2031,印度,124160.23236363567,GitHub项目数
2032,印度,131829.2616363652,GitHub项目数
2033,印度,139498.29090909287,GitHub项目数
2034,印度,147167.32018182054,GitHub项目数
2035,印度,154836.34945455007,GitHub项目数
2016,德国,2024.56,GitHub项目数
2017,德国,3875.26,GitHub项目数
2018,德国,5009.94,GitHub项目数
2019,德国,5920.87,GitHub项目数
2020,德国,8000.78,GitHub项目数
2021,德国,7220.41,GitHub项目数
2022,德国,7174.05,GitHub项目数
2023,德国,6712.97,GitHub项目数
2024,德国,6500.0,GitHub项目数
2025,德国,6400.0,GitHub项目数
2026,德国,8192.099333332852,GitHub项目数
2027,德国,8611.774848484434,GitHub项目数
2028,德国,9031.4503636359,GitHub项目数
2029,德国,9451.125878787483,GitHub项目数
2030,德国,9870.80139393895,GitHub项目数
2031,德国,10290.476909090532,GitHub项目数
2032,德国,10710.152424241998,GitHub项目数
2033,德国,11129.82793939358,GitHub项目数
2034,德国,11549.503454545047,GitHub项目数
2035,德国,11969.17896969663,GitHub项目数
2016,日本,1380.93,GitHub项目数
2017,日本,2590.18,GitHub项目数
2018,日本,3235.31,GitHub项目数
2019,日本,3299.64,GitHub项目数
2020,日本,3825.55,GitHub项目数
2021,日本,3220.05,GitHub项目数
2022,日本,2721.37,GitHub项目数
2023,日本,3133.73,GitHub项目数
2024,日本,3050.0,GitHub项目数
2025,日本,3000.0,GitHub项目数
2026,日本,3091.6148996069096,GitHub项目数
2027,日本,3086.0667658341117,GitHub项目数
2028,日本,3080.528588601621,GitHub项目数
2029,日本,3075.0003500422463,GitHub项目数
2030,日本,3069.482032319298,GitHub项目数
2031,日本,3063.973617629381,GitHub项目数
2032,日本,3058.4750882012304,GitHub项目数
2033,日本,3052.9864262945484,GitHub项目数
2034,日本,3047.5076142014004,GitHub项目数
2035,日本,3042.0386342457496,GitHub项目数
2016,法国,1171.4,GitHub项目数
2017,法国,2193.42,GitHub项目数
2018,法国,3039.8,GitHub项目数
2019,法国,3719.17,GitHub项目数
2020,法国,5025.34,GitHub项目数
2021,法国,4888.39,GitHub项目数
2022,法国,4951.47,GitHub项目数
2023,法国,4823.62,GitHub项目数
2024,法国,4700.0,GitHub项目数
2025,法国,4600.0,GitHub项目数
2026,法国,5940.677999999956,GitHub项目数
2027,法国,6309.662909090868,GitHub项目数
2028,法国,6678.64781818178,GitHub项目数
2029,法国,7047.632727272692,GitHub项目数
2030,法国,7416.6176363637205,GitHub项目数
2031,法国,7785.6025454546325,GitHub项目数
2032,法国,8154.5874545455445,GitHub项目数
2033,法国,8523.572363636456,GitHub项目数
2034,法国,8892.557272727368,GitHub项目数
2035,法国,9261.542181818397,GitHub项目数
2016,美国,15011.7,GitHub项目数
2017,美国,28151.86,GitHub项目数
2018,美国,34637.48,GitHub项目数
2019,美国,35349.5,GitHub项目数
2020,美国,43785.55,GitHub项目数
2021,美国,34987.02,GitHub项目数
2022,美国,32494.68,GitHub项目数
2023,美国,34313.71,GitHub项目数
2024,美国,33500.0,GitHub项目数
2025,美国,33000.0,GitHub项目数
2026,美国,34675.029369041324,GitHub项目数
2027,美国,34716.43943162635,GitHub项目数
2028,美国,34757.89894747734,GitHub项目数
2029,美国,34799.40797563642,GitHub项目数
2030,美国,34840.96657525748,GitHub项目数
2031,美国,34882.574805520475,GitHub项目数
2032,美国,34924.23272570968,GitHub项目数
2033,美国,34965.940395150334,GitHub项目数
2034,美国,35007.69787326828,GitHub项目数
2035,美国,35049.505219545215,GitHub项目数
2016,英国,2673.35,GitHub项目数
2017,英国,4939.2,GitHub项目数
2018,英国,6000.9,GitHub项目数
2019,英国,7013.76,GitHub项目数
2020,英国,8881.75,GitHub项目数
2021,英国,8497.7,GitHub项目数
2022,英国,9037.78,GitHub项目数
2023,英国,9481.53,GitHub项目数
2024,英国,9600.0,GitHub项目数
2025,英国,9700.0,GitHub项目数
2026,英国,11228.271320470812,GitHub项目数
2027,英国,12007.71731368269,GitHub项目数
2028,英国,12841.271017600375,GitHub项目数
2029,英国,13732.68849022311,GitHub项目数
2030,英国,14685.98652820487,GitHub项目数
2031,英国,15705.460766853066,GitHub项目数
2032,英国,16795.705036596715,GitHub项目数
2033,英国,17961.63206314406,GitHub项目数
2034,英国,19208.495604608324,GitHub项目数
2035,英国,20541.91412535106,GitHub项目数
2016,阿联酋,81.52,GitHub项目数
2017,阿联酋,199.13,GitHub项目数
2018,阿联酋,309.66,GitHub项目数
2019,阿联酋,436.08,GitHub项目数
2020,阿联酋,586.52,GitHub项目数
2021,阿联酋,638.09,GitHub项目数
2022,阿联酋,653.01,GitHub项目数
2023,阿联酋,825.71,GitHub项目数
2024,阿联酋,900.0,GitHub项目数
2025,阿联酋,950.0,GitHub项目数
2026,阿联酋,1201.0667953882603,GitHub项目数
2027,阿联酋,1388.1393620167246,GitHub项目数
2028,阿联酋,1604.3494797949897,GitHub项目数
2029,阿联酋,1854.2354778982535,GitHub项目数
2030,阿联酋,2143.042554503725,GitHub项目数
2031,阿联酋,2476.8328754120757,GitHub项目数
2032,阿联酋,2862.612821117198,GitHub项目数
2033,阿联酋,3308.480053286261,GitHub项目数
2034,阿联酋,3823.7934876296313,GitHub项目数
2035,阿联酋,4419.3697409527085,GitHub项目数
2016,韩国,653.29,GitHub项目数
2017,韩国,1696.8,GitHub项目数
2018,韩国,2243.35,GitHub项目数
2019,韩国,3302.57,GitHub项目数
2020,韩国,4124.61,GitHub项目数
2021,韩国,4679.07,GitHub项目数
2022,韩国,4084.5,GitHub项目数
2023,韩国,3613.16,GitHub项目数
2024,韩国,3400.0,GitHub项目数
2025,韩国,3300.0,GitHub项目数
2026,韩国,4626.137999999919,GitHub项目数
2027,韩国,4901.847636363469,GitHub项目数
2028,韩国,5177.557272727136,GitHub项目数
2029,韩国,5453.266909090802,GitHub项目数
2030,韩国,5728.976545454469,GitHub项目数
2031,韩国,6004.686181818135,GitHub项目数
2032,韩国,6280.395818181685,GitHub项目数
2033,韩国,6556.105454545352,GitHub项目数
2034,韩国,6831.815090909018,GitHub项目数
2035,韩国,7107.524727272685,GitHub项目数
2016,中国,171.0,TOP500上榜数
2017,中国,202.0,TOP500上榜数
2018,中国,227.0,TOP500上榜数
2019,中国,228.0,TOP500上榜数
2020,中国,214.0,TOP500上榜数
2021,中国,173.0,TOP500上榜数
2022,中国,162.0,TOP500上榜数
2023,中国,104.0,TOP500上榜数
2024,中国,63.0,TOP500上榜数
2025,中国,40.0,TOP500上榜数
2026,中国,58.19999999998254,TOP500上榜数
2027,中国,39.98181818179728,TOP500上榜数
2028,中国,21.763636363612022,TOP500上榜数
2029,中国,3.5454545454267645,TOP500上榜数
2030,中国,0.0,TOP500上榜数
2031,中国,0.0,TOP500上榜数
2032,中国,0.0,TOP500上榜数
2033,中国,0.0,TOP500上榜数
2034,中国,0.0,TOP500上榜数
2035,中国,0.0,TOP500上榜数
2016,加拿大,1.0,TOP500上榜数
2017,加拿大,5.0,TOP500上榜数
2018,加拿大,9.0,TOP500上榜数
2019,加拿大,9.0,TOP500上榜数
2020,加拿大,12.0,TOP500上榜数
2021,加拿大,11.0,TOP500上榜数
2022,加拿大,10.0,TOP500上榜数
2023,加拿大,10.0,TOP500上榜数
2024,加拿大,9.0,TOP500上榜数
2025,加拿大,19.0,TOP500上榜数
2026,加拿大,16.066666666665697,TOP500上榜数
2027,加拿大,17.26060606060537,TOP500上榜数
2028,加拿大,18.45454545454504,TOP500上榜数
2029,加拿大,19.64848484848426,TOP500上榜数
2030,加拿大,20.84242424242393,TOP500上榜数
2031,加拿大,22.03636363636315,TOP500上榜数
2032,加拿大,23.23030303030282,TOP500上榜数
2033,加拿大,24.42424242424204,TOP500上榜数
2034,加拿大,25.61818181818171,TOP500上榜数
2035,加拿大,26.812121212121383,TOP500上榜数
2016,印度,5.0,TOP500上榜数
2017,印度,4.0,TOP500上榜数
2018,印度,4.0,TOP500上榜数
2019,印度,2.0,TOP500上榜数
2020,印度,3.0,TOP500上榜数
2021,印度,3.0,TOP500上榜数
2022,印度,3.0,TOP500上榜数
2023,印度,4.0,TOP500上榜数
2024,印度,6.0,TOP500上榜数
2025,印度,6.0,TOP500上榜数
2026,印度,5.9329913263458,TOP500上榜数
2027,印度,6.514620113908663,TOP500上榜数
2028,印度,7.153267701586671,TOP500上榜数
2029,印度,7.8545238119590834,TOP500上榜数
2030,印度,8.624526144736265,TOP500上榜数
2031,印度,9.470014096588187,TOP500上榜数
2032,印度,10.398387747286606,TOP500上榜数
2033,印度,11.417772628435245,TOP500上榜数
2034,印度,12.537090841670377,TOP500上榜数
2035,印度,13.766139148790927,TOP500上榜数
2016,德国,31.0,TOP500上榜数
2017,德国,21.0,TOP500上榜数
2018,德国,17.0,TOP500上榜数
2019,德国,16.0,TOP500上榜数
2020,德国,17.0,TOP500上榜数
2021,德国,26.0,TOP500上榜数
2022,德国,34.0,TOP500上榜数
2023,德国,36.0,TOP500上榜数
2024,德国,40.0,TOP500上榜数
2025,德国,40.0,TOP500上榜数
2026,德国,48.78658410296828,TOP500上榜数
2027,德国,55.362330550769684,TOP500上榜数
2028,德国,62.824395279320356,TOP500上榜数
2029,德国,71.29224154667412,TOP500上榜数
2030,德国,80.90143458049852,TOP500上榜数
2031,德国,91.80581189746636,TOP500上榜数
2032,德国,104.17994615122234,TOP500上榜数
2033,德国,118.22193993767314,TOP500上榜数
2034,德国,134.15659730078266,TOP500上榜数
2035,德国,152.2390227128144,TOP500上榜数
2016,日本,27.0,TOP500上榜数
2017,日本,35.0,TOP500上榜数
2018,日本,31.0,TOP500上榜数
2019,日本,29.0,TOP500上榜数
2020,日本,34.0,TOP500上榜数
2021,日本,32.0,TOP500上榜数
2022,日本,31.0,TOP500上榜数
2023,日本,32.0,TOP500上榜数
2024,日本,34.0,TOP500上榜数
2025,日本,43.0,TOP500上榜数
2026,日本,37.666666666666515,TOP500上榜数
2027,日本,38.551515151515105,TOP500上榜数
2028,日本,39.436363636363694,TOP500上榜数
2029,日本,40.321212121212056,TOP500上榜数
2030,日本,41.206060606060646,TOP500上榜数
2031,日本,42.090909090909236,TOP500上榜数
2032,日本,42.975757575757825,TOP500上榜数
2033,日本,43.860606060606415,TOP500上榜数
2034,日本,44.745454545455004,TOP500上榜数
2035,日本,45.630303030303594,TOP500上榜数
2016,法国,20.0,TOP500上榜数
2017,法国,18.0,TOP500上榜数
2018,法国,18.0,TOP500上榜数
2019,法国,18.0,TOP500上榜数
2020,法国,18.0,TOP500上榜数
2021,法国,19.0,TOP500上榜数
2022,法国,24.0,TOP500上榜数
2023,法国,23.0,TOP500上榜数
2024,法国,24.0,TOP500上榜数
2025,法国,23.0,TOP500上榜数
2026,法国,25.42560082240675,TOP500上榜数
2027,法国,26.56504625479556,TOP500上榜数
2028,法国,27.755555805686868,TOP500上榜数
2029,法国,28.999417907790644,TOP500上榜数
2030,法国,30.29902354966987,TOP500上榜数
2031,法国,31.656870871770934,TOP500上榜数
2032,法国,33.075569968422315,TOP500上榜数
2033,法国,34.55784790503503,TOP500上榜数
2034,法国,36.106553960149654,TOP500上榜数
2035,法国,37.7246651024019,TOP500上榜数
2016,美国,171.0,TOP500上榜数
2017,美国,143.0,TOP500上榜数
2018,美国,109.0,TOP500上榜数
2019,美国,117.0,TOP500上榜数
2020,美国,113.0,TOP500上榜数
2021,美国,149.0,TOP500上榜数
2022,美国,127.0,TOP500上榜数
2023,美国,161.0,TOP500上榜数
2024,美国,173.0,TOP500上榜数
2025,美国,171.0,TOP500上榜数
2026,美国,179.20150074245203,TOP500上榜数
2027,美国,188.55731604852735,TOP500上榜数
2028,美国,198.40158306777994,TOP500上榜数
2029,美国,208.75980305993608,TOP500上榜数
2030,美国,219.6588086635129,TOP500上榜数
2031,美国,231.12683340490275,TOP500上榜数
2032,美国,243.1935848364219,TOP500上榜数
2033,美国,255.89032149278228,TOP500上榜数
2034,美国,269.24993386533606,TOP500上榜数
2035,美国,283.30702960382223,TOP500上榜数
2016,英国,13.0,TOP500上榜数
2017,英国,15.0,TOP500上榜数
2018,英国,20.0,TOP500上榜数
2019,英国,11.0,TOP500上榜数
2020,英国,12.0,TOP500上榜数
2021,英国,11.0,TOP500上榜数
2022,英国,15.0,TOP500上榜数
2023,英国,15.0,TOP500上榜数
2024,英国,14.0,TOP500上榜数
2025,英国,9.0,TOP500上榜数
2026,英国,11.599999999999568,TOP500上榜数
2027,英国,11.254545454544882,TOP500上榜数
2028,英国,10.90909090909031,TOP500上榜数
2029,英国,10.563636363635624,TOP500上榜数
2030,英国,10.218181818180938,TOP500上榜数
2031,英国,9.872727272726365,TOP500上榜数
2032,英国,9.52727272727168,TOP500上榜数
2033,英国,9.181818181817107,TOP500上榜数
2034,英国,8.836363636362421,TOP500上榜数
2035,英国,8.490909090907735,TOP500上榜数
2016,阿联酋,0.0,TOP500上榜数
2017,阿联酋,0.0,TOP500上榜数
2018,阿联酋,0.0,TOP500上榜数
2019,阿联酋,2.0,TOP500上榜数
2020,阿联酋,2.0,TOP500上榜数
2021,阿联酋,2.0,TOP500上榜数
2022,阿联酋,2.0,TOP500上榜数
2023,阿联酋,1.0,TOP500上榜数
2024,阿联酋,3.0,TOP500上榜数
2025,阿联酋,5.0,TOP500上榜数
2026,阿联酋,4.066666666666947,TOP500上榜数
2027,阿联酋,4.496969696970041,TOP500上榜数
2028,阿联酋,4.9272727272731345,TOP500上榜数
2029,阿联酋,5.357575757576228,TOP500上榜数
2030,阿联酋,5.787878787879322,TOP500上榜数
2031,阿联酋,6.2181818181824156,TOP500上榜数
2032,阿联酋,6.648484848485509,TOP500上榜数
2033,阿联酋,7.078787878788603,TOP500上榜数
2034,阿联酋,7.509090909091697,TOP500上榜数
2035,阿联酋,7.93939393939479,TOP500上榜数
2016,韩国,4.0,TOP500上榜数
2017,韩国,5.0,TOP500上榜数
2018,韩国,6.0,TOP500上榜数
2019,韩国,3.0,TOP500上榜数
2020,韩国,3.0,TOP500上榜数
2021,韩国,7.0,TOP500上榜数
2022,韩国,8.0,TOP500上榜数
2023,韩国,12.0,TOP500上榜数
2024,韩国,13.0,TOP500上榜数
2025,韩国,15.0,TOP500上榜数
2026,韩国,17.87907944907832,TOP500上榜数
2027,韩国,21.75420395700165,TOP500上榜数
2028,韩国,26.469225731150345,TOP500上榜数
2029,韩国,32.206184707627415,TOP500上榜数
2030,韩国,39.18657628889892,TOP500上榜数
2031,韩国,47.67990294988368,TOP500上榜数
2032,韩国,58.01407932527991,TOP500上榜数
2033,韩国,70.58809250298793,TOP500上榜数
2034,韩国,85.88740631861009,TOP500上榜数
2035,韩国,104.50270438779387,TOP500上榜数
2016,中国,0.1,互联网带宽
2017,中国,0.15,互联网带宽
2018,中国,0.2,互联网带宽
2019,中国,0.3,互联网带宽
2020,中国,0.5,互联网带宽
2021,中国,1.0,互联网带宽
2022,中国,2.0,互联网带宽
2023,中国,3.0,互联网带宽
2024,中国,0.4,互联网带宽
2025,中国,0.4,互联网带宽
2026,中国,1.6066666666666833,互联网带宽
2027,中国,1.752424242424297,互联网带宽
2028,中国,1.8981818181819108,互联网带宽
2029,中国,2.0439393939394677,互联网带宽
2030,中国,2.1896969696970814,互联网带宽
2031,中国,2.335454545454695,互联网带宽
2032,中国,2.481212121212309,互联网带宽
2033,中国,2.6269696969698657,互联网带宽
2034,中国,2.7727272727274794,互联网带宽
2035,中国,2.918484848485093,互联网带宽
2016,加拿大,0.01,互联网带宽
2017,加拿大,0.01,互联网带宽
2018,加拿大,0.02,互联网带宽
2019,加拿大,0.03,互联网带宽
2020,加拿大,0.05,互联网带宽
2021,加拿大,0.1,互联网带宽
2022,加拿大,0.2,互联网带宽
2023,加拿大,0.3,互联网带宽
2024,加拿大,0.5,互联网带宽
2025,加拿大,0.5,互联网带宽
2026,加拿大,0.49866666666667925,互联网带宽
2027,加拿大,0.5580606060606357,互联网带宽
2028,加拿大,0.6174545454545779,互联网带宽
2029,加拿大,0.6768484848485343,互联网带宽
2030,加拿大,0.7362424242424765,互联网带宽
2031,加拿大,0.795636363636433,互联网带宽
2032,加拿大,0.8550303030303894,互联网带宽
2033,加拿大,0.9144242424243316,互联网带宽
2034,加拿大,0.973818181818288,互联网带宽
2035,加拿大,1.0,互联网带宽
2016,印度,0.01,互联网带宽
2017,印度,0.01,互联网带宽
2018,印度,0.01,互联网带宽
2019,印度,0.02,互联网带宽
2020,印度,0.05,互联网带宽
2021,印度,0.2,互联网带宽
2022,印度,0.5,互联网带宽
2023,印度,0.8,互联网带宽
2024,印度,1.0,互联网带宽
2025,印度,1.2,互联网带宽
2026,印度,1.0,互联网带宽
2027,印度,1.0,互联网带宽
2028,印度,1.0,互联网带宽
2029,印度,1.0,互联网带宽
2030,印度,1.0,互联网带宽
2031,印度,1.0,互联网带宽
2032,印度,1.0,互联网带宽
2033,印度,1.0,互联网带宽
2034,印度,1.0,互联网带宽
2035,印度,1.0,互联网带宽
2016,德国,0.03,互联网带宽
2017,德国,0.04,互联网带宽
2018,德国,0.05,互联网带宽
2019,德国,0.06,互联网带宽
2020,德国,0.1,互联网带宽
2021,德国,0.2,互联网带宽
2022,德国,0.3,互联网带宽
2023,德国,0.04,互联网带宽
2024,德国,0.05,互联网带宽
2025,德国,0.05,互联网带宽
2026,德国,0.1259999999999959,互联网带宽
2027,德国,0.13218181818181485,互联网带宽
2028,德国,0.13836363636363203,互联网带宽
2029,德国,0.14454545454545098,互联网带宽
2030,德国,0.15072727272726816,互联网带宽
2031,德国,0.1569090909090871,互联网带宽
2032,德国,0.16309090909090607,互联网带宽
2033,德国,0.16927272727272324,互联网带宽
2034,德国,0.1754545454545422,互联网带宽
2035,德国,0.18163636363635938,互联网带宽
2016,日本,0.02,互联网带宽
2017,日本,0.03,互联网带宽
2018,日本,0.04,互联网带宽
2019,日本,0.05,互联网带宽
2020,日本,0.1,互联网带宽
2021,日本,0.2,互联网带宽
2022,日本,0.5,互联网带宽
2023,日本,1.0,互联网带宽
2024,日本,1.2,互联网带宽
2025,日本,1.4,互联网带宽
2026,日本,1.0,互联网带宽
2027,日本,1.0,互联网带宽
2028,日本,1.0,互联网带宽
2029,日本,1.0,互联网带宽
2030,日本,1.0,互联网带宽
2031,日本,1.0,互联网带宽
2032,日本,1.0,互联网带宽
2033,日本,1.0,互联网带宽
2034,日本,1.0,互联网带宽
2035,日本,1.0,互联网带宽
2016,法国,0.01,互联网带宽
2017,法国,0.02,互联网带宽
2018,法国,0.03,互联网带宽
2019,法国,0.04,互联网带宽
2020,法国,0.1,互联网带宽
2021,法国,0.5,互联网带宽
2022,法国,1.0,互联网带宽
2023,法国,1.5,互联网带宽
2024,法国,2.0,互联网带宽
2025,法国,2.4,互联网带宽
2026,法国,2.2933333333334076,互联网带宽
2027,法国,2.57212121212126,互联网带宽
2028,法国,2.8509090909092265,互联网带宽
2029,法国,3.129696969697193,互联网带宽
2030,法国,3.4084848484850454,互联网带宽
2031,法国,3.6872727272730117,互联网带宽
2032,法国,3.966060606060978,互联网带宽
2033,法国,4.244848484848831,互联网带宽
2034,法国,4.523636363636797,互联网带宽
2035,法国,4.802424242424763,互联网带宽
2016,美国,0.3,互联网带宽
2017,美国,0.5,互联网带宽
2018,美国,1.0,互联网带宽
2019,美国,2.0,互联网带宽
2020,美国,5.0,互联网带宽
2021,美国,10.0,互联网带宽
2022,美国,20.0,互联网带宽
2023,美国,30.0,互联网带宽
2024,美国,35.0,互联网带宽
2025,美国,39.7,互联网带宽
2026,美国,41.020000000002256,互联网带宽
2027,美国,45.869090909094666,互联网带宽
2028,美国,50.71818181818526,互联网带宽
2029,美国,55.56727272727767,互联网带宽
2030,美国,60.41636363637008,互联网带宽
2031,美国,65.26545454546067,互联网带宽
2032,美国,70.11454545455308,互联网带宽
2033,美国,74.96363636364549,互联网带宽
2034,美国,79.81272727273608,互联网带宽
2035,美国,84.6618181818285,互联网带宽
2016,英国,0.02,互联网带宽
2017,英国,0.03,互联网带宽
